Recipient,Supplier,Year_of_order, ,Number_ordered, ,Weapon_designation,Weapon_description,Number_delivered, ,Year(s)_of_delivery,status,Comments,SIPRI_TIV_per_unit,SIPRI_TIV_for_total_order,SIPRI_TIV_of_delivered_weapons
Afghanistan,United States,2011,,41,?,ASV-150/M-1117,APC,41,?,2011; 2012,New,,0.45,18.45,18.45
Afghanistan,United States,2011,,240,,ASV-150/M-1117,APC,240,?,2012; 2013,New,$257 m deal; MSFV version; incl command; ARV; AEV; ambulance and mortar carrier versions,0.45,108,108
Afghanistan,United States,2012,,71,,ASV-150/M-1117,APC,71,?,2014,New,$79 m deal; MSFV version,0.45,31.95,31.95
Afghanistan,United States,2013,,135,,ASV-150/M-1117,APC,135,?,2014; 2015,New,$113 m deal; MSFV version,0.45,60.75,60.75
Afghanistan,United States,2012,?,136,?,ASV-150/M-1117,APC,136,?,2013; 2014,New,MSFV version,0.45,61.2,61.2
Afghanistan,United States,2015,,55,,ASV-150/M-1117,APC,55,,2015,New,,0.45,24.75,24.75
Afghanistan,United States,2017,,55,?,ASV-150/M-1117,APC,55,,2018; 2019,New,,0.45,24.75,24.75
Afghanistan,United States,2019,?,55,?,ASV-150/M-1117,APC,55,?,2020,New,Aid; MSFV version,0.45,24.75,24.75
Afghanistan,United States,2012,?,4,,C-130H Hercules,transport aircraft,4,,2013; 2014; 2015,Second hand,Second-hand; aid,11.2,44.8,44.8
Afghanistan,United States,2011,,6,,Cessna-180 Skywagon,light aircraft,6,?,2011,New,Part of $88 m deal; Cessna-182T version; for training,0.18,1.08,1.08
Afghanistan,United States,2011,,26,,Cessna-208 Caravan,light transport aircraft,26,?,2011; 2012,New,Part of $88 m deal; probably aid; Cessna-208B version,1,26,26
Afghanistan,United States,2018,,10,,Cessna-208 Caravan,light transport aircraft,10,?,2018; 2019; 2020,New,$86 m deal; aid; armed Cessna-208B version,1,10,10
Afghanistan,United States,2006,,800,?,HMMWV-UA,APV,800,?,2007; 2008,Second hand,Second-hand; aid,0.05,41.6,41.6
Afghanistan,United States,2008,,4735,?,HMMWV-UA,APV,4735,?,2008; 2009; 2010; 2011,New,$760 m deal; aid; M-1151 and M-1152 versions,0.13,615.55,615.55
Afghanistan,United States,2010,,4002,,HMMWV-UA,APV,4002,?,2011; 2012; 2013,New,Part of $1 b deal; M-1152A1B2 version; incl for police,0.13,520.26,520.26
Afghanistan,United States,2010,,237,?,HMMWV-UA,APV,237,?,2012,New,$45 m deal; incl 137 M-1152 and 100 M-1151 version,0.13,30.81,30.81
Afghanistan,United States,2010,,2566,,HMMWV-UA,APV,2566,?,2011; 2012,Second hand,Second-hand; M-1114 version,0.05,133.43,133.43
Afghanistan,United States,2011,,744,?,HMMWV-UA,APV,744,?,2012,New,,0.13,96.72,96.72
Afghanistan,United States,2016,,1673,,HMMWV-UA,APV,1673,?,2016; 2017,New,$356 m deal; incl 1259 M-1151A1B1 and 414 M-1151A1B2 version,0.13,217.49,217.49
Afghanistan,United States,2016,,433,,HMMWV-UA,APV,433,,2017,New,$109 m deal; incl 360 M-1152A1B2 and 73 M-1151A1B1 version,0.13,56.29,56.29
Afghanistan,United States,2017,,4300,?,HMMWV-UA,APV,4300,?,2018; 2019; 2020; 2021,New,Aid; more ordered but cancelled after Taliban took power in Afghanistan mid-2021,0.13,559,559
Afghanistan,United States,2017,,1673,?,HMMWV-UA,APV,1673,?,2018; 2019; 2020; 2021,Second hand,Second-hand; aid,0.05,87,87
Afghanistan,United States,2004,?,188,?,M-113,APC,188,?,2005,Second hand,Second-hand; aid; M-113A2 version; incl 15 M-577A2 command post version,0.1,18.8,18.8
Afghanistan,United States,2014,,222,,MaxxPro,APC,222,,2015,Second hand,Second-hand; incl 20 recovery vehicle version; aid,0.13,28.42,28.42
Afghanistan,United States,2011,,6,,MD-500E,light helicopter,6,,2011,New,$17-20 m aid; MD-530F version; incl for training (but armed 2015),0.7,4.2,4.2
Afghanistan,United States,2014,,12,,MD-500E,light helicopter,12,,2015,New,Armed MD-530F version,0.7,8.4,8.4
Afghanistan,United States,2015,?,12,,MD-500E,light helicopter,12,,2016,New,Armed MD-530F version,0.7,8.4,8.4
Afghanistan,United States,2017,,30,,MD-500E,light helicopter,30,,2018; 2019,New,Armed MD-530F version; Afghan designation Jengi,0.7,21,21
Afghanistan,United States,2019,,12,,MD-500E,light helicopter,12,,2020; 2021,New,Armed MD-530F version; Afghan designation Jengi,0.7,8.4,8.4
Afghanistan,United States,2017,?,250,?,Paveway,guided bomb,250,?,2017; 2018; 2019,New,Paveway-2 version; for Super Tucano (A-29B) trainer/combat aircraft,0.02,5,5
Afghanistan,United States,2016,,53,,S-70 Black Hawk,transport helicopter,53,?,2017; 2018; 2019; 2020,Second hand but modernized,Second-hand UH-60A modernized to UH-60A+ before delivery; aid,4.29,227.37,227.37
Afghanistan,United States,2015,,65,,ScanEagle,UAV,65,?,2016; 2017; 2018,New,$71 m deal,0.04,2.6,2.6
Afghanistan,United States,2017,,5,?,ScanEagle,UAV,5,?,2018,New,$19.6 m deal,0.04,0.2,0.2
Afghanistan,United States,2018,,35,,ScanEagle,UAV,35,?,2019,New,$58 m deal (incl operational support),0.04,1.4,1.4
Albania,United States,2017,,103,?,HMMWV-UA,APV,103,?,2017; 2018; 2020,Second hand,Second-hand; aid,0.05,5.36,5.36
Albania,United States,2022,,,,FGM-148 Javelin,anti-tank missile,0,,,New,,0.03,0,0
Albania,United States,2016,,3,,MaxxPro,APC,3,,2017,Second hand,Second-hand,0.13,0.38,0.38
Albania,United States,2018,,37,,MaxxPro,APC,37,,2019,Second hand,Second-hand; aid,0.13,4.74,4.74
Albania,United States,2020,,3,,S-70 Black Hawk,transport helicopter,0,,,Second hand,Second-hand; aid; delivery planned 2024,2.6,7.8,0
